"w","e"
3.93375,0.143946615824595
3.941,0.141842172037554
3.94825,0.139745456847971
3.9555,0.137656427758817
3.96275,0.135575042584064
3.97,0.133501259445844
3.97725,0.131435036771639
3.9845,0.129376333291505
3.99175,0.127325108035323
3.999,0.125281320330082
4.00625,0.123244929797192
4.0135,0.12121589634982
4.02075,0.119194180190263
4.028,0.117179741807349
4.03525,0.115172541973856
4.0425,0.11317254174397
4.04975,0.111179702450769
4.057,0.109193985703722
4.06425,0.107215353386234
4.0715,0.105243767653199
4.07875,0.103279190928594
4.086,0.101321585903084
4.09325,0.0993709155316682
4.1005,0.0974271430313378
4.10775,0.0954902318787658
4.115,0.0935601458080195
4.12225,0.0916368488082966
4.1295,0.0897203051216857
4.13675,0.0878104792409502
4.144,0.0859073359073359
4.15125,0.084010840108401
4.1585,0.0821209570758688
4.16575,0.0802376522835024
4.173,0.0783608914450036
4.18025,0.076490640511931
4.1875,0.0746268656716418
4.19475,0.0727695333452529
4.202,0.0709186101856258
4.20925,0.0690740630753697
4.2165,0.0672358591248665
4.22375,0.0654039656703167
4.231,0.0635783502718035
4.23825,0.0617589807113785
4.2455,0.0599458249911671
4.25275,0.0581388513314913
4.26,0.0563380281690142
4.26725,0.0545433241549007
4.2745,0.0527547081530004
4.28175,0.0509721492380453
4.289,0.0491956166938681
4.29625,0.047425080011638
4.3035,0.0456605088881143
4.31075,0.0439018732239171
4.318,0.0421491431218157
4.32525,0.0404022888850357
4.3325,0.03866128101558
4.33975,0.0369260902125699
4.347,0.0351966873706004
4.35425,0.0334730435781134
4.3615,0.0317551301157859
4.36875,0.0300429184549358
4.376,0.0283363802559413
4.38325,0.0266354873666799
4.3905,0.0249402118209769
4.39775,0.0232505258370757
4.405,0.0215664018161179
4.41225,0.0198878123406425
4.4195,0.0182147301730964
4.42675,0.0165471282543626
4.434,0.0148849797023003
4.44125,0.0132282578103011
4.4485,0.0115769360458582
4.45575,0.00993098804915005
4.463,0.00829038763163781
4.47025,0.00665510877467712
4.4775,0.00502512562814061
4.48475,0.00340041250905854
4.492,0.00178094390026717
4.49925,0.0001666944490748
4.5065,0
4.51375,0
4.521,0
4.52825,0
4.5355,0
4.54275,0
4.55,0
4.55725,0
4.5645,0
4.57175,0
4.579,0
4.58625,0
4.5935,0
4.60075,0
4.608,0
4.61525,0
4.6225,0
4.62975,0
4.637,0
4.64425,0
4.6515,0
4.65875,0
4.666,0
4.67325,0
4.6805,0
4.68775,0
4.695,0
4.70225,0
4.7095,0
4.71675,0
4.724,0
4.73125,0
4.7385,0
4.74575,0
4.753,0
4.76025,0
4.7675,0
4.77475,0
4.782,0
4.78925,0
4.7965,0
4.80375,0
4.811,0
4.81825,0
4.8255,0
4.83275,0
4.84,0
4.84725,0
4.8545,0
4.86175,0
4.869,0
4.87625,0
4.8835,0
4.89075,0
4.898,0
4.90525,0
4.9125,0
4.91975,0
4.927,0
4.93425,0
